301,509
314,489
333,473
350,455
366,436
383,417
402,402
415,377
432,355
452,333
460,307
474,283
475,257
451,257
431,273
416,294
403,317
384,335
361,336
341,294
333,244
330,192
331,140
328,88
306,47
286,67
287,99
287,132
283,162
283,196
276,223
271,191
274,155
275,120
277,84
278,48
259,24
238,45
237,80
234,115
226,147
227,183
223,216
212,191
208,162
208,132
211,103
211,72
196,51
173,74
171,110
169,147
165,184
171,219
172,255
163,235
159,210
153,187
151,162
148,137
133,121
116,149
118,186
122,223
130,259
130,296
134,333
136,370
141,406
150,441
154,477
140,510
